2022-09-16 10:06:07 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:06:07 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:06:07 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:06:07 INFO  TestBase:14 - Test execution has started..verifyCustomerCanLogin
2022-09-16 10:06:07 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:06:07 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> id: input-email]
2022-09-16 10:06:08 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:06:08 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> id: input-password]
2022-09-16 10:06:08 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:06:08 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> xpath: //input[@type='submit']]
2022-09-16 10:06:08 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:06:08 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #content h2]
2022-09-16 10:06:08 INFO  TestBase:165 - Getting text from..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #content h2]
2022-09-16 10:06:08 INFO  TestBase:171 - Got text from..[[ChromeDriver: chrome on WINDOWS (bd67e73f026ce07b32df32ca3222c689)] -> css selector: #content h2]New Customer
2022-09-16 10:06:08 INFO  TestBase:19 - Test execution has pass successfully..verifyCustomerCanLogin
2022-09-16 10:08:43 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:08:47 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:08:47 INFO  TestBase:14 - Test execution has started..testSomthing
2022-09-16 10:08:47 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:47 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (4324a275cd3d94fea0f4c35be15961b1)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:47 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (4324a275cd3d94fea0f4c35be15961b1)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:47 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (4324a275cd3d94fea0f4c35be15961b1)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:47 INFO  TestBase:19 - Test execution has pass successfully..testSomthing
2022-09-16 10:08:49 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:08:55 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:08:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:55 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:55 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:55 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:08:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:55 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:08:55 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:08:55 INFO  TestBase:105 - Clicked webelement..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #top-links ul.dropdown-menu li:last-of-type a]
2022-09-16 10:08:55 INFO  TestBase:14 - Test execution has started..verifyCustomerCanLogin
2022-09-16 10:08:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:55 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> id: input-email]
2022-09-16 10:08:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:55 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> id: input-password]
2022-09-16 10:08:55 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:56 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> xpath: //input[@type='submit']]
2022-09-16 10:08:56 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:08:56 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #content h2]
2022-09-16 10:08:56 INFO  TestBase:165 - Getting text from..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #content h2]
2022-09-16 10:08:56 INFO  TestBase:171 - Got text from..[[ChromeDriver: chrome on WINDOWS (f09909fc2865afe0981c172bdf63bb91)] -> css selector: #content h2]New Customer
2022-09-16 10:08:56 INFO  TestBase:19 - Test execution has pass successfully..verifyCustomerCanLogin
2022-09-16 10:11:43 INFO  TestBase:40 - Navigating to URl..data:,
2022-09-16 10:11:46 INFO  TestBase:46 - Navigated to URl..https://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-09-16 10:11:46 INFO  TestBase:14 - Test execution has started..testSomthing
2022-09-16 10:11:46 INFO  TestBase:89 - Finding webelement..null
2022-09-16 10:11:46 INFO  TestBase:94 - Webelement found..[[ChromeDriver: chrome on WINDOWS (0f799d0b0af2ded9c70e5270978a0c82)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-09-16 10:11:46 INFO  TestBase:100 - Clicking webelement..[[ChromeDriver: chrome on WINDOWS (0f799d0b0af2ded9c70e5270978a0c82)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
